src/main/java/co/edu/unbosque/horizont/HorizontApplication.java:11:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:46:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'is_control_person' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:46:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'is_control_person' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:46:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setIs_control_person' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:55:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'isIs_affiliated_exchange_or_finra' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:64:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'is_affiliated_exchange_or_finra' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:64:	LongVariable:	LongVariable: Avoid excessively long variable names like is_affiliated_exchange_or_finra
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:64:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'is_affiliated_exchange_or_finra' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:64:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setIs_affiliated_exchange_or_finra' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:73:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'isIs_politically_exposed' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:82:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'is_politically_exposed' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:82:	LongVariable:	LongVariable: Avoid excessively long variable names like is_politically_exposed
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:82:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'is_politically_exposed' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:82:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setIs_politically_exposed' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:91:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'isImmediate_family_exposed' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:100:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'immediate_family_exposed' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:100:	LongVariable:	LongVariable: Avoid excessively long variable names like immediate_family_exposed
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:100:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'immediate_family_exposed' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/DisclosuresDTO.java:100:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setImmediate_family_exposed' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:7:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:9:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:11:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
